Name,Address,City,State,Postal Code,Phone,Latitude,Longitude,Distance,Brand
West Main St.,130 West Main St.,Youngsville,NC,27596,9195549160,36.0249,-78.479,35.40362548,speedway
Hwy. 15-501,3778 Hwy. 15-501,Carthage,NC,28327,9109473824,35.34385,-79.39324,35.57083659,speedway
West Cumberland St,1304 West Cumberland St,Dunn,NC,28334,9108923001,35.31466,-78.62339,37.92820093,speedway
3458-3460 Us Hwy 1,3458-3460 Us Hwy 1,Franklinton,NC,27525,9194945570,36.10159,-78.46539,38.9969698,speedway
East Cumberland St,810 East Cumberland St,Dunn,NC,28334,9108921320,35.30238,-78.60304,39.29075095,speedway
Us 301 S.,6127 Us 301 S.,Four Oaks,NC,27524,9199632094,35.44592,-78.42325,39.92349884,speedway
S Bright Leaf Blvd.,2103 S Bright Leaf Blvd.,Smithfield,NC,27577,9199341690,35.48531,-78.36273,41.51477643,speedway
N. Bright Leaf Blvd.,1016 N. Bright Leaf Blvd.,Smithfield,NC,27577,9199380724,35.51647,-78.32135,42.7066508,speedway
East Market Street,1669 East Market Street,Smithfield,NC,27577,9199345137,35.50596,-78.32659,42.72924415,speedway
Burlington Rd,4400 Burlington Rd,Greensboro,NC,27405,3366903596,36.08931,-79.70102,44.47853801,7-eleven
M L King Jr Ave,821 M L King Jr Ave,Oxford,NC,27565,9196035900,36.29938,-78.58274,44.53019531,speedway
North Fayetteville St,534 North Fayetteville St,Asheboro,NC,27203,3366256269,35.71419,-79.81126,44.62628732,speedway
Ramsey St,3901 Ramsey St,Fayetteville,NC,28311,9108503227,35.11513,-78.88058,45.11217884,7-eleven
Main Street,425 Main Street,Bunn,NC,27508,9194964691,35.95822,-78.2504,45.27529873,speedway
West Dixie Drive,509 West Dixie Drive,Asheboro,NC,27205,3366265891,35.68754,-79.82056,45.3196431,speedway
Santa Fe Dr,661 Santa Fe Dr,Fayetteville,NC,28303,9107095398,35.09655,-78.97219,45.78615024,7-eleven
S Bickette Blvd,112 S Bickette Blvd,Louisburg,NC,27549,9194966794,36.09559,-78.2973,46.64646134,speedway
E. Wendover Avenue,2005 E. Wendover Avenue,Greensboro,NC,27405,3362722365,36.08737,-79.75855,47.21649048,speedway
North Sandhills Blvd,1206 North Sandhills Blvd,Aberdeen,NC,28315,9109447992,35.14904,-79.41874,47.74176242,speedway
Nc Highway 5,1760 Nc Highway 5,Aberdeen,NC,28315,9102954934,35.16189,-79.47205,48.47616354,speedway
E Cornwallis Dr,800 E Cornwallis Dr,Greensboro,NC,27405,3369087870,36.10172,-79.78079,48.78247407,7-eleven
Grove Street,470 Grove Street,Fayetteville,NC,28301,9104836751,35.05375,-78.86778,49.40517213,speedway
Raeford Road,4560 Raeford Road,Fayetteville,NC,28304,9104231240,35.04363,-78.95648,49.48422025,speedway
Raeford Road,3706 Raeford Road,Fayetteville,NC,28304,9104843346,35.04454,-78.94216,49.48620684,speedway
South Eastern Blvd.,101 South Eastern Blvd.,Fayetteville,NC,28301,9104833006,35.0473,-78.8649,49.87136288,speedway
Princeton Kenly Rd,1857 Princeton Kenly Rd,Kenly,NC,27542,9196288169,35.57476,-78.1443,50.84914116,7-eleven
Owen Drive,2802 Owen Drive,Fayetteville,NC,28306,9104856679,35.01794,-78.90291,51.54844558,speedway
S Garnette St.,929 S Garnette St.,Henderson,NC,27536,2524306249,36.32201,-78.41073,51.62387484,speedway
Battleground Avenue,2834 Battleground Avenue,Greensboro,NC,27408,3362888351,36.11232,-79.83213,51.65851773,speedway
Lawndale Dr.,3800 Lawndale Dr.,Greensboro,NC,27455,3362824503,36.11997,-79.82989,51.79675938,speedway
W Wendover Avenue,3610 W Wendover Avenue,Greensboro,NC,27407,3362926643,36.06055,-79.86992,52.02727745,speedway
W Market St,4646 W Market St,Greensboro,NC,27407,3369434791,36.07047,-79.86807,52.20648517,7-eleven
N. Garnett St.,1640 N. Garnett St.,Henderson,NC,27536,2524922033,36.34283,-78.39425,53.30893387,speedway
W. Friendly Avenue,5729 W. Friendly Avenue,Guilford College,NC,27410,3362928634,36.08946,-79.88831,53.77875057,speedway
West Market Street,5916 West Market Street,Greensboro,NC,27409,3368557163,36.07682,-79.90217,54.12964951,speedway
Aberdeen Rd.,422 Aberdeen Rd.,Raeford,NC,28376,9108756377,34.98878,-79.25128,54.728678,speedway
Greensboro Rd,1440 Greensboro Rd,High Point,NC,27260,3364918475,35.99054,-79.95731,54.99071704,7-eleven
West Fairfield Road,801 West Fairfield Road,High Point,NC,27263,3368615893,35.92045,-80.00066,56.19684455,speedway
Gallimore Dairy Rd.,514 Gallimore Dairy Rd.,Greensboro,NC,27409,3368123580,36.06529,-79.95981,56.80529955,speedway
Airport Blvd W,2155 Airport Blvd W,Wilson,NC,27896,2527405844,35.74526,-77.96625,59.18903112,7-eleven
N. Main Street,3010 N. Main Street,High Point,NC,27265,3368844470,35.99932,-80.03471,59.32389353,speedway
Sandy Ridge Road,3110 Sandy Ridge Road,Colfax,NC,27235,3369930267,36.0942,-79.9954,59.39968717,speedway
Randolph Street,1031 Randolph Street,Thomasville,NC,27360,3364727106,35.86451,-80.07208,59.56250433,speedway
Randolph Street,407 Randolph Street,Thomasville,NC,27360,3364752916,35.87602,-80.07725,59.94754481,speedway
Forest Hills Rd W.,2131 Forest Hills Rd W.,Wilson,NC,27893,2522919085,35.73037,-77.95253,59.99123052,speedway
Nc Highway 58 N,4901 Nc Highway 58 N,Wilson,NC,27896,2522377086,35.7824,-77.95,60.10068061,speedway
S Wilson Street,107 S Wilson Street,Fremont,NC,27830,9192429566,35.54339,-77.97623,60.55655777,speedway
Us Highway 301 Sw,2634 Us Highway 301 Sw,Wilson,NC,27893,2522346249,35.6953,-77.94,60.83656263,speedway
Ward Blvd,1211 Ward Blvd,Wilson,NC,27893,2522914073,35.71983,-77.93537,60.98749472,speedway
1501-B Us Hwy 70 West,1501-B Us Hwy 70 West,Goldsboro,NC,27530,9195839135,35.40449,-78.02314,61.21083976,speedway
W Mlk Jr Blvd,110 W Mlk Jr Blvd,Roseboro,NC,28382,9105254234,34.95763,-78.51202,62.2671402,speedway
Ward Blvd.,6700 Ward Blvd.,Wilson,NC,27893,2522374943,35.7066,-77.9132,62.28434552,speedway
Ward Blvd,3950 Ward Blvd,Wilson,NC,27893,2522430338,35.74065,-77.90397,62.69625157,speedway
Us Hwy 117 South,2775 Us Hwy 117 South,Dudley,NC,28333,9197363666,35.3278,-78.0352,62.93439292,speedway
Us 117 Bypass S,1221 Us 117 Bypass S,Goldsboro,NC,27530,9197354638,35.3634,-78.0112,63.01607533,speedway
Mlk Jr Pkwy Se,1602 Mlk Jr Pkwy Se,Wilson,NC,27893,2522379346,35.71494,-77.89451,63.29933209,speedway
E Ash St.,400 E Ash St.,Goldsboro,NC,27530,9197360040,35.3838,-77.99038,63.48163243,speedway
North Main Street,401 North Main Street,Kernersville,NC,27284,3369963134,36.12538,-80.07031,64.09579806,speedway
S Main St,1005 S Main St,Kernersville,NC,27284,3369969963,36.1081,-80.0963,64.99411756,7-eleven
E. Macon St.,301 E. Macon St.,Warrenton,NC,27589,2522571611,36.39828,-78.15226,65.52962016,speedway
Nc Highway 55 West,124 Nc Highway 55 West,Mount Olive,NC,28365,9196586500,35.21181,-78.06382,65.7923766,speedway
Us Hwy 1 South Rr1,115 Us Hwy 1 South Rr1,Norlina,NC,27563,2524562411,36.44548,-78.20086,65.82939677,speedway
S Hathaway Blvd,4221 S Hathaway Blvd,Sharpsburg,NC,27878,2524461790,35.86242,-77.83177,67.06535124,speedway
Sunset Avenue,3550 Sunset Avenue,Rocky Mount,NC,27804,2529372977,35.96385,-77.84703,67.28113292,speedway
English Road,737 English Road,Rocky Mount,NC,27804,2529373061,35.97808,-77.84407,67.64950544,speedway
E New Hope Rd,420 E New Hope Rd,Goldsboro,NC,27534,9197518088,35.38616,-77.90803,67.67976363,speedway
Bethlehem Rd.,1212 Bethlehem Rd.,Rocky Mount,NC,27803,2524437971,35.93598,-77.8318,67.75745701,speedway
Waughtown Street,2901 Waughtown Street,Winston-salem,NC,27107,3367847147,36.07677,-80.18315,68.83781441,speedway
North Main Street,537 North Main Street,Lexington,NC,27292,3362498340,35.82824,-80.24829,69.19471199,speedway
Benvenue Rd,1320 Benvenue Rd,Rocky Mount,NC,27804,2524509149,35.97706,-77.80454,69.79912517,7-eleven
Thomasville Road,3331 Thomasville Road,Winston-salem,NC,27107,3367887380,36.05628,-80.20946,69.81974448,speedway
Cotton Grove Rd.,19 Cotton Grove Rd.,Lexington,NC,27292,3362492361,35.8136,-80.26351,69.99306397,speedway
North Wesleyan Blvd.,1493 North Wesleyan Blvd.,Rocky Mount,NC,27804,2522121797,35.97831,-77.78997,70.61570238,speedway
East Raleigh Blvd.,1122 East Raleigh Blvd.,Rocky Mount,NC,27801,2524461218,35.94453,-77.77685,70.89391177,speedway
Nc 24 27 Bypass E,641 Nc 24 27 Bypass E,Albemarle,NC,28001,7049835283,35.34485,-80.17208,70.96198673,speedway
A East Broad Avenue,1114 A East Broad Avenue,Rockingham,NC,28379,9108956150,34.9243,-79.7544,70.99242098,speedway
W. Hamlet Avenue,728 W. Hamlet Avenue,Hamlet,NC,28345,9105822789,34.8948,-79.70215,71.00991327,speedway
Us Highway 52 N,1702 Us Highway 52 N,Albemarle,NC,28001,7049835082,35.38254,-80.19273,71.0225898,speedway
E. Sprague Street,546 E. Sprague Street,Winston-salem,NC,27107,3367845175,36.0685,-80.22736,71.02338893,speedway
Highway 52 North,2325 Highway 52 North,Albemarle,NC,28001,7049822144,35.39538,-80.19982,71.0719394,speedway
S. Main Street,3600 S. Main Street,Winston-salem,NC,27127,3367848248,36.04745,-80.23956,71.26735346,speedway
Peters Creek Parkway,3715 Peters Creek Parkway,Winston-salem,NC,27127,3367847959,36.02039,-80.26028,71.90663734,speedway
West Church Street,1205 West Church Street,Laurinburg,NC,28352,9106101592,34.77506,-79.4797,72.69093522,speedway
Silas Creek Parkway,1425 Silas Creek Parkway,Winston-salem,NC,27127,3367225641,36.06672,-80.25915,72.69112143,speedway
Hargrave Rd,330 Hargrave Rd,Lexington,NC,27292,7432670217,35.77605,-80.31494,72.8089167,7-eleven
Akron Drive,653 Akron Drive,Winston-salem,NC,27105,3367440652,36.1408,-80.23606,73.10010727,speedway
Nc 89 Hwy. East,5140 Nc 89 Hwy. East,Walnut Cove,NC,27052,3365914392,36.31289,-80.1399,73.43850587,speedway
South Main Street,1425 South Main Street,Laurinburg,NC,28352,9102764642,34.75921,-79.4709,73.53874393,speedway
University Parkway,2700 University Parkway,Winston-salem,NC,27105,3367480982,36.12471,-80.2591,73.92829525,speedway
S. Hawthorne Road,2026 S. Hawthorne Road,Winston-salem,NC,27103,3367942788,36.07767,-80.29993,75.09428148,speedway
S. Stratford Road,2420 S. Stratford Road,Winston-salem,NC,27103,3366590626,36.05392,-80.32133,75.79864711,speedway
University Parkway,5434 University Parkway,Winston-salem,NC,27105,3367677340,36.1694,-80.27773,75.98361632,speedway
W Washington St.,101 W Washington St.,La Grange,NC,28551,2525668377,35.3052,-77.78929,76.06469265,speedway
Robinhood Rd.,3396 Robinhood Rd.,Winston-salem,NC,27106,3366594248,36.11606,-80.3137,76.62391093,speedway
University Parkway,6205 University Parkway,Winston-salem,NC,27105,3363773410,36.19719,-80.27837,76.73833618,speedway
N Roberts Ave,2250 N Roberts Ave,Lumberton,NC,28358,9108856626,34.63998,-79.00221,77.18807453,7-eleven
Long Ferry Rd,1215 Long Ferry Rd,Salisbury,NC,28146,9803054200,35.69385,-80.39789,77.63298353,7-eleven
Yadkinville Rd.,3598 Yadkinville Rd.,Winston-salem,NC,27106,3369243327,36.15344,-80.31727,77.66045806,speedway
Highway 258 N,707 Highway 258 N,Snow Hill,NC,28580,2527477709,35.46539,-77.66744,78.76218636,speedway
Reynolda Road,4019 Reynolda Road,Winston-salem,NC,27106,3369248408,36.16637,-80.33317,78.80329882,speedway
Lewisville-Clemmons,2405 Lewisville-Clemmons,Clemmons,NC,27012,3367782441,36.03392,-80.38361,78.83707101,speedway
Kingold Blvd.,1102 Kingold Blvd.,Snow Hill,NC,28580,2527474157,35.44226,-77.66156,79.51652982,speedway
Styers Ferry Rd.,4301 Styers Ferry Rd.,Winston-salem,NC,27104,3369450507,36.09363,-80.37687,79.53534853,speedway
May Blvd,5453 May Blvd,Farmville,NC,27828,2527530432,35.61753,-77.60335,80.23859163,speedway
East Caswell Street,1006 East Caswell Street,Wadesboro,NC,28170,7046945967,34.96593,-80.06208,80.38160017,speedway
Us Hwy. 158,5427 Us Hwy. 158,Advance,NC,27006,3369403171,36.00655,-80.43371,81.16475683,speedway
North Main Street,206 North Main Street,Kenansville,NC,28349,9102960701,34.96257,-77.96091,81.18705858,speedway
E Innes St,1605 E Innes St,Salisbury,NC,28146,7047541906,35.65134,-80.457,81.18866559,7-eleven
E. Marlboro Road,8491 E. Marlboro Road,Farmville,NC,27828,2527536856,35.58064,-77.5927,81.19873849,speedway
S. Mcdaniels Street,113 S. Mcdaniels Street,Enfield,NC,27823,2524452952,36.179,-77.6651,81.21999786,speedway
East Innes Street,500 East Innes Street,Salisbury,NC,28144,7046450677,35.66389,-80.46507,81.55966559,speedway
S Main St,713 S Main St,King,NC,27021,3369853406,36.26236,-80.3626,82.84805705,7-eleven
North Main Street,2256 North Main Street,Tarboro,NC,27886,2528230553,35.91626,-77.54726,83.34187251,speedway
W Jake Alexander Blvd,827 W Jake Alexander Blvd,Salisbury,NC,28147,7046337856,35.66644,-80.49989,83.49619182,speedway
North Main Street,111 North Main Street,Tarboro,NC,27886,2528233972,35.89538,-77.53279,83.98560631,speedway
South Main St.,3410 South Main St.,Salisbury,NC,28147,7046301108,35.63527,-80.51668,84.64428804,speedway
W Vernon Ave,3800 W Vernon Ave,Kinston,NC,28504,2525237365,35.26294,-77.64115,84.89389403,speedway
N. Sycamore,206 N. Sycamore,Rose Hill,NC,28458,9102820074,34.82766,-78.02249,85.4482681,speedway
Nc Highway 11/55 S,1660 Nc Highway 11/55 S,Kinston,NC,28504,2525232418,35.24413,-77.6169,86.67836606,speedway
Us Highway 258 S,1608 Us Highway 258 S,Kinston,NC,28504,2525224064,35.24026,-77.59406,87.96434442,speedway
Yadkinville Rd.,1508 Yadkinville Rd.,Mocksville,NC,27028,3367516144,35.92087,-80.58672,88.69063597,speedway
West 10Th Street,2550 West 10Th Street,Roanoke Rapids,NC,27870,2525356500,36.46489,-77.69331,88.70060251,speedway
Hwy 43 N.,3519 Hwy 43 N.,Greenville,NC,27834,2527521862,35.63276,-77.44589,88.91723309,speedway
W Nc Highway 67,104  W Nc Highway 67,East Bend,NC,27018,3366998922,36.21549,-80.50763,89.12306869,speedway
Stantonsburg Road,3000 Stantonsburg Road,Greenville,NC,27834,2526956206,35.607,-77.43,90.01106144,speedway
Dickinson Ave,4000 Dickinson Ave,Greenville,NC,27834,2523219263,35.57709,-77.43223,90.16753018,speedway
Nc Highway 24 27 E,4350 Nc Highway 24 27 E,Midland,NC,28107,7048883377,35.2512,-80.5016,90.612506,speedway
North Cannon Blvd.,2803 North Cannon Blvd.,Kannapolis,NC,28083,7049338003,35.53089,-80.61016,90.90215386,speedway
S Jackson St,114 S Jackson St,Beulaville,NC,28518,9102988310,34.92327,-77.77381,90.95835928,speedway
Third Street,138 Third Street,Ayden,NC,28513,2527462878,35.47477,-77.43369,91.39421962,speedway
West 3Rd. St.,170 West 3Rd. St.,Ayden,NC,28513,2527468100,35.47443,-77.43239,91.47091144,speedway
S Nc 41 Hwy,5706 S Nc 41 Hwy,Wallace,NC,28466,9102854411,34.74052,-77.97582,91.74505618,speedway
S. Cannon Blvd.,2401 S. Cannon Blvd.,Kannapolis,NC,28083,7049333650,35.46183,-80.60854,91.79620921,speedway
Warren C Coleman Blvd,541 Warren C Coleman Blvd,Concord,NC,28025,7047848879,35.38322,-80.5832,91.82982756,speedway
S Memorial Dr,3436 S Memorial Dr,Greenville,NC,27834,2526201483,35.5689,-77.40249,91.9081906,7-eleven
S. Memorial Drive,715 S. Memorial Drive,Greenville,NC,27834,2527585565,35.60629,-77.39504,91.97026072,speedway
S. Memorial Dr.,3000 S. Memorial Dr.,Greenville,NC,27834,2527563911,35.57901,-77.39784,92.06460198,speedway
West Greenville Blvd.,502 West Greenville Blvd.,Greenville,NC,27834,2527564696,35.57408,-77.39487,92.27941763,speedway
W Firetower Rd,620 W Firetower Rd,Winterville,NC,28590,2527569018,35.54886,-77.39843,92.3527385,speedway
South Key Street,818 South Key Street,Pilot Mountain,NC,27041,3363689843,36.37469,-80.48896,92.55489632,speedway
N. Memorial Dr,1110 N. Memorial Dr,Greenville,NC,27834,2525618126,35.63099,-77.37841,92.70709204,speedway
N Concord Parkway,475 N Concord Parkway,Concord,NC,28027,7047842108,35.40931,-80.61202,92.89043642,speedway
West Queen Street,431 West Queen Street,Grifton,NC,28530,2525243150,35.37527,-77.43802,92.92822033,speedway
North Greene St.,500 North Greene St.,Greenville,NC,27834,2527520733,35.622,-77.37336,93.05608754,speedway
West Marshville Blvd,6325 West Marshville Blvd,Marshville,NC,28103,7046245616,34.98618,-80.37311,93.19875923,speedway
Old Tar Road,4985 Old Tar Road,Winterville,NC,28590,2523530752,35.52485,-77.38481,93.3957246,speedway
W C St,2720 W C St,Kannapolis,NC,28081,7049333380,35.51671,-80.66984,94.38800075,7-eleven
Se Greenville Blvd,1601 Se Greenville Blvd,Greenville,NC,27858,2527527891,35.5908,-77.3461,94.83937419,speedway
Charles Blvd,3805 Charles Blvd,Greenville,NC,27858,2527568043,35.56524,-77.34919,94.91437481,speedway
Hwy 264 East,3505 Hwy 264 East,Greenville,NC,27834,2526956478,35.62648,-77.32845,95.53625951,speedway
East Tenth St,3202 East Tenth St,Greenville,NC,27858,2528301808,35.59891,-77.33165,95.57495437,speedway
Coddle Market Dr Nw,310 Coddle Market Dr Nw,Concord,NC,28027,9804322320,35.40929,-80.66371,95.70465209,7-eleven
Concord Pkwy S,3710 Concord Pkwy S,Concord,NC,28027,7047921072,35.37006,-80.66641,96.59028846,7-eleven
North Highway 125,303 North Highway 125,Oak City,NC,27857,2527987931,35.9651,-77.304,97.30256076,speedway
Poplar Tent Rd,6886 Poplar Tent Rd,Concord,NC,28027,7047861570,35.40308,-80.6934,97.43408701,7-eleven
Albemarle Road,13354 Albemarle Road,Mint Hill,NC,28227,7045730557,35.22283,-80.62846,97.98298766,speedway
Nc Hwy 33 East,5068 Nc Hwy 33 East,Greenville,NC,27858,2527583451,35.58374,-77.28712,98.19603637,speedway
Bruton Smith Blvd,7740 Bruton Smith Blvd,Concord,NC,28027,7047856756,35.3656,-80.71032,99.0549706,7-eleven
W. Academy St.,109 W. Academy St.,Robersonville,NC,27871,2527954346,35.82501,-77.25542,99.18136543,speedway
E Jefferson St.,213 E Jefferson St.,Jackson,NC,27845,2525344561,36.38919,-77.41491,99.74175735,speedway
N Tryon St,11550 N Tryon St,Charlotte,NC,28262,7047136869,35.33542,-80.71296,99.80476401,7-eleven
Wilgrove Mint Hill,4300 Wilgrove Mint Hill,Charlotte,NC,28227,7045731919,35.18084,-80.64737,100.1110644,7-eleven
Pavilion Blvd,1901 Pavilion Blvd,Charlotte,NC,28262,7045477440,35.31225,-80.71196,100.2437735,7-eleven
University City Blvd,9608 University City Blvd,Charlotte,NC,28213,7045480505,35.30662,-80.72212,100.9112761,7-eleven
Ellenwood Rd,11065 Ellenwood Rd,Concord,NC,28027,7047960066,35.40125,-80.76112,101.1609634,7-eleven
N Tryon St,10023 N Tryon St,Charlotte,NC,28262,7047902590,35.32204,-80.73407,101.2212148,7-eleven
Richlands Highway,8801 Richlands Highway,Richlands,NC,28574,9103242575,34.90269,-77.55442,101.6756542,speedway
Idlewild Rd,15000 Idlewild Rd,Stallings,NC,28104,7048935086,35.12427,-80.65324,102.0560111,7-eleven
Rockford Street,1012 Rockford Street,Mount Airy,NC,27030,3367865868,36.48645,-80.61219,102.2281631,speedway
Old Concord Rd,8101 Old Concord Rd,Charlotte,NC,28213,7045965195,35.27869,-80.73643,102.3019247,7-eleven
Rocky Branch Rd,2941 Rocky Branch Rd,Hamptonville,NC,27020,3364681387,36.11824,-80.79529,102.599607,7-eleven
Richlands Hwy.,7401 Richlands Hwy.,Richlands,NC,28574,9103249263,34.8859,-77.549,102.6070382,speedway
Salisbury Hwy,1505 Salisbury Hwy,Statesville,NC,28625,9804344557,35.76998,-80.85558,103.1834492,7-eleven
Mallard Creek Rd,9025 Mallard Creek Rd,Charlotte,NC,28262,7045109515,35.3272,-80.77359,103.2426676,7-eleven
W Pine St,850 W Pine St,Mount Airy,NC,27030,3367862057,36.49989,-80.62559,103.3299902,speedway
Unionville Indian Trl,304 Unionville Indian Trl,Indian Trail,NC,28079,7048828920,35.07592,-80.65106,103.4450448,7-eleven
W Memorial Hwy,1460 W Memorial Hwy,Union Grove,NC,28689,7045394091,36.00933,-80.83823,103.4951124,7-eleven
Turnersburg Hwy,849 Turnersburg Hwy,Statesville,NC,28625,7048763258,35.84758,-80.86158,103.6455196,7-eleven
N Tryon St,6500 N Tryon St,Charlotte,NC,28213,7045094261,35.27672,-80.76581,103.9143866,7-eleven
East Atkins St.,912 East Atkins St.,Dobson,NC,27017,3363742235,36.39158,-80.70714,104.0343713,speedway
Albemarle Rd,6233 Albemarle Rd,Charlotte,NC,28212,9804751724,35.20338,-80.73915,104.2847139,7-eleven
Turnersburg Hwy,234 Turnersburg Hwy,Statesville,NC,28625,9808921902,35.81528,-80.87627,104.3845753,7-eleven
E Independence Blvd,11208 E Independence Blvd,Matthews,NC,28105,7047089212,35.11807,-80.69817,104.5344793,7-eleven
River Highway,571 River Highway,Mooresville,NC,28117,7046636737,35.59473,-80.87045,104.7486866,speedway
Windsor Square Dr,1700 Windsor Square Dr,Matthews,NC,28105,7047088597,35.13326,-80.71119,104.7564861,7-eleven
Ramah Church Rd,11410 Ramah Church Rd,Huntersville,NC,28078,7046063903,35.42051,-80.8422,105.2802013,7-eleven
W Sugar Creek Rd,1120 W Sugar Creek Rd,Charlotte,NC,28213,7045983081,35.27611,-80.79303,105.3824882,7-eleven
Eastway Dr,936 Eastway Dr,Charlotte,NC,28205,7043345865,35.24313,-80.78067,105.4865176,7-eleven
Sam Roper Dr,12007 Sam Roper Dr,Charlotte,NC,28269,7048750935,35.36991,-80.83319,105.6494585,7-eleven
Connection Pt Blvd,4036 Connection Pt Blvd,Charlotte,NC,28212,7045170890,35.18453,-80.75981,105.8592966,7-eleven
Old Statesville Rd,8325 Old Statesville Rd,Charlotte,NC,28269,9804709261,35.33614,-80.82554,105.8714447,7-eleven
N Graham St,4800 N Graham St,Charlotte,NC,28269,7046500011,35.27936,-80.8061,106.0094716,7-eleven
Eastway Dr,2840 Eastway Dr,Charlotte,NC,28205,7045375551,35.21757,-80.78098,106.1252152,7-eleven
Sam Furr Rd,9701 Sam Furr Rd,Huntersville,NC,28078,7048925779,35.44255,-80.86393,106.1365235,7-eleven
Nc Hwy 67,1648 Nc Hwy 67,Jonesville,NC,28642,3368353502,36.23901,-80.82023,106.1728943,speedway
N Tryon St,3737 N Tryon St,Charlotte,NC,28206,9808508362,35.25514,-80.80155,106.3145406,7-eleven
Monroe Rd,5343 Monroe Rd,Charlotte,NC,28205,7045353497,35.18999,-80.77266,106.3889781,7-eleven
E Independence Blvd,3750 E Independence Blvd,Charlotte,NC,28205,9803553285,35.20072,-80.77793,106.3890396,7-eleven
Reames Rd,10700 Reames Rd,Charlotte,NC,28269,7045966117,35.34575,-80.83919,106.4255225,7-eleven
